"","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria"
"1",1,2671,135,26,1,29,21.6536170765662
"2",2,6079,117,7,1,13,20.6858467065084
"3",3,1361,63,27,1,21,21.9889204475027
"4",4,6911,52,23,1,30,16.1823702161401
"5",5,7719,30,39,1,17,6.1778148660569
"6",6,5144,32,15,1,31,5.75226411069138
"7",7,4094,139,38,1,11,25.1123654243543
"8",8,10607,107,17,1,26,10.8387865518492
"9",9,9759,159,23,1,32,20.5607629778418
"10",10,1280,91,39,1,24,5.28617330315453
"11",11,9584,112,31,1,31,15.9133466548566
"12",12,2011,156,33,1,21,8.00474116534367
"13",13,8362,164,19,1,23,13.4569396221407
"14",14,4500,56,30,1,16,15.964576275252
"15",15,5518,134,25,1,19,4.78050470689358
"16",16,3032,197,38,1,20,14.5405992012036
"17",17,4374,128,9,1,22,22.0395489277989
"18",18,9358,150,34,1,8,5.07242004939821
"19",19,5618,180,20,1,25,23.4557861803921
"20",20,9640,102,21,1,20,25.5766351043268
"21",21,2653,198,31,1,27,24.4745573337339
"22",22,427,179,6,1,16,0.964985469633248
"23",23,5673,77,20,1,26,22.2965733913872
"24",24,8051,197,40,1,14,0.44528023693664
"25",25,460,184,15,1,22,11.3031936081259
"26",26,901,56,20,1,23,15.1547071708078
"27",27,11392,58,35,1,25,7.65594842972839
"28",28,10649,51,30,1,24,17.8510024076304
"29",29,8938,60,16,1,11,18.9748053529093
"30",30,8621,69,28,1,10,2.82363418856356
"31",31,1937,99,37,1,18,14.9127372338318
"32",32,9932,129,14,1,32,24.4056099089764
"33",33,5530,109,8,1,16,15.6584210452747
"34",34,7899,193,39,1,23,5.72719277475146
"35",35,11434,160,16,1,8,0.717188225536374
"36",36,4137,125,10,1,29,24.922373137977
"37",37,5015,105,13,1,26,22.9230647742345
"38",38,4693,128,13,1,12,8.0974405187536
"39",39,9106,155,11,1,15,23.6844902591116
"40",40,9979,43,11,1,23,1.94808672922431
"41",41,2699,154,19,1,17,23.5589950863777
"42",42,2419,54,37,1,15,3.37259878482949
"43",43,8129,176,22,1,20,25.5195899240701
"44",44,9203,60,7,1,24,1.71847167643229
"45",45,7549,36,35,1,24,5.5089813557521
"46",46,4219,144,17,1,18,22.7598084425719
"47",47,5980,25,13,1,27,10.9337038298349
"48",48,1490,179,29,1,17,7.85281570726726
"49",49,2566,50,36,1,17,3.46795168624725
"50",50,7190,167,21,1,14,11.5151713906841
"51",51,7910,76,6,1,11,22.7819843072908
"52",52,8213,157,34,1,12,8.49985875428235
"53",53,10554,190,40,1,13,0.54859206717927
"54",54,11715,92,10,1,25,18.0425502681045
"55",55,1081,107,13,1,16,16.157423552929
"56",56,9762,140,30,1,24,5.36849268169212
"57",57,5355,161,20,1,28,25.3993001076924
"58",58,1109,155,20,1,26,19.4256339775743
"59",59,318,82,21,1,19,21.5292003997504
"60",60,6843,163,26,1,21,19.313377078014
"61",61,6099,162,6,1,14,6.19254529416654
"62",62,3794,166,12,1,25,2.89547274101758
"63",63,1631,188,23,1,11,11.066635887864
"64",64,11720,190,35,1,11,10.8630067544053
"65",65,7220,95,12,1,26,7.74463970945962
"66",66,10307,109,35,1,22,7.90742135064816
"67",67,4348,184,22,1,28,12.1374186502693
"68",68,4225,194,26,1,23,10.8059371850113
"69",69,3223,65,17,1,25,15.3446378581093
"70",70,10789,42,19,1,24,25.2939798230485
"71",71,11873,153,17,1,23,11.3516968030813
"72",72,422,25,33,1,23,7.00973658771021
"73",73,3597,46,39,1,17,6.9880811685482
"74",74,3906,43,40,1,27,18.5338380344561
"75",75,10709,189,21,1,20,3.28120647446951
"76",76,10908,50,14,1,17,7.42759909480507
"77",77,2006,169,15,1,31,10.6140110985613
"78",78,8150,187,39,1,20,13.2574383733035
"79",79,5492,84,37,1,10,12.3719232037398
"80",80,4118,161,19,1,22,6.967609106872
"81",81,3915,80,28,1,16,15.6364345249105
"82",82,1588,43,30,1,17,22.692156751659
"83",83,1229,141,18,1,23,23.0137106708735
"84",84,2713,187,38,1,26,7.2478306693763
"85",85,6657,108,9,1,17,5.83109394847555
"86",86,3484,189,18,1,29,4.53214624116896
"87",87,805,57,32,1,31,23.1247481876072
"88",88,3199,189,39,1,27,1.58168485139869
"89",89,5645,183,9,1,8,0.0126530964761041
"90",90,8084,74,38,1,30,3.4150119202761
"91",91,4832,89,7,1,11,17.7996275999902
"92",92,5328,185,26,1,11,17.9357327754754
"93",93,2766,45,18,1,12,17.2639616666969
"94",94,12074,83,25,1,19,4.68491751427949
"95",95,11040,142,21,1,15,8.11846173396939
"96",96,10590,57,16,1,9,5.84509802081645
"97",97,7920,179,35,1,31,2.61435828189389
"98",98,4327,92,16,1,10,9.05110273846472
"99",99,1367,97,5,1,29,5.17188322688756
"100",100,9018,30,16,1,25,21.3235252749536
"101",101,12083,194,34,1,30,16.0347917870735
"102",102,5593,188,33,1,23,8.11806742954883
"103",103,10710,43,37,1,8,25.6257359411167
"104",104,7456,108,6,1,30,25.7831128742124
"105",105,3811,99,16,1,9,18.6045087155702
"106",106,2776,199,34,1,17,3.36640840471047
"107",107,8017,60,38,1,11,18.2811893880675
"108",108,8646,126,8,1,18,11.0951732206799
"109",109,5035,68,13,1,26,2.01508434950188
"110",110,4766,63,25,1,29,9.5886481962828
"111",111,6313,86,28,1,16,19.3174483302319
"112",112,6971,151,37,1,9,17.7100951387291
"113",113,1815,143,12,1,30,17.6558080287101
"114",114,415,28,8,1,31,1.99056562834769
"115",115,9024,69,17,1,14,0.80697246314818
"116",116,6495,102,10,1,26,19.333170192505
"117",117,5493,140,8,1,25,24.3994050175366
"118",118,9987,125,16,1,29,7.80091006416199
"119",119,10682,138,30,1,28,17.2877534521231
"120",120,5143,44,39,1,19,21.4233101509016
"121",121,3312,68,31,1,9,0.147559977439931
"122",122,9347,55,34,1,13,9.80134780599177
"123",123,3555,100,25,1,23,4.60101808613096
"124",124,11351,27,25,1,9,22.5589537292658
"125",125,10893,45,11,1,10,18.4046342074294
"126",126,7761,108,34,1,10,17.348314505751
"127",127,2612,33,7,1,31,7.54388856206764
"128",128,9890,163,28,1,16,0.33724788392894
"129",129,11157,177,29,1,25,14.0497549802805
"130",130,372,191,25,1,16,9.32385047720559
"131",131,4654,64,12,1,9,21.5024075905201
"132",132,5605,185,14,1,26,13.3779238950782
"133",133,9674,88,6,1,24,5.11577827779646
"134",134,6845,78,37,1,26,2.33275503435056
"135",135,1028,179,40,1,15,15.4951155096227
"136",136,8330,98,17,1,13,23.7382843976007
"137",137,3178,166,24,1,16,15.2527259042638
"138",138,6166,91,35,1,10,15.0840429432827
"139",139,1270,33,20,1,22,14.7108838738904
"140",140,10281,194,9,1,30,6.27053717721533
"141",141,3803,110,17,1,9,2.37186928139161
"142",142,4030,42,16,1,22,18.1513149739064
"143",143,12245,81,29,1,22,7.75052577755786
"144",144,5059,107,5,1,26,1.27614938808419
"145",145,8534,178,22,1,11,10.7420060992537
"146",146,8938,143,7,1,21,12.9740266770921
"147",147,8885,196,36,1,13,9.88889952749992
"148",148,5204,80,33,1,14,19.5848792370455
"149",149,6836,184,26,1,12,24.998195751329
