CalBP,BP,Error,CalRange
0,199,8,0
5,188,8,0
10,172,8,0
15,154,8,0
20,152,7,0
25,132,6,0
30,129,7,0
35,104,7,0
40,99,7,0
45,83,7,0
50,71,7,0
55,78,7,0
60,98,7,0
65,102,7,0
70,104,7,0
75,119,7,0
80,114,6,0
85,123,6,0
90,119,6,0
95,122,8,0
100,114,9,0
105,114,8,0
110,122,8,0
115,113,8,0
120,95,7,0
125,103,7,0
130,102,6,0
135,111,8,0
140,132,8,0
145,154,8,0
150,170,7,0
155,212,8,0
160,219,8,0
165,215,8,0
170,185,7,0
175,168,7,0
180,176,8,0
185,172,8,0
190,155,7,0
195,161,7,0
200,163,7,0
205,163,7,0
210,167,7,0
215,152,8,0
220,137,8,0
225,113,6,0
230,105,6,0
235,93,7,0
240,97,6,0
245,105,6,0
250,103,6,0
255,118,5,0
260,133,6,0
265,141,7,0
270,167,8,0
275,176,7,0
280,181,8,0
285,215,7,0
290,233,7,0
295,239,7,0
300,252,7,0
305,273,7,0
310,299,7,0
315,306,7,0
320,328,8,0
325,332,7,0
330,334,7,0
335,354,7,0
340,360,8,0
345,369,7,0
350,347,7,0
355,343,8,0
360,332,8,0
365,332,8,0
370,335,8,0
375,332,8,0
380,325,8,0
385,324,8,0
390,328,8,0
395,316,8,0
400,310,7,0
405,311,8,0
410,307,7,0
415,304,7,0
420,306,8,0
425,320,7,0
430,337,8,0
435,345,8,0
440,353,8,0
445,350,10,0
450,349,11,0
455,352,11,0
460,359,12,0
465,368,11,0
470,372,12,0
475,375,12,0
480,381,12,0
485,389,11,0
490,393,11,0
495,399,11,0
500,416,12,0
505,438,12,0
510,459,12,0
515,476,11,0
520,490,12,0
525,502,11,0
530,513,12,0
535,526,11,0
540,543,12,0
545,560,11,0
550,572,12,0
555,584,12,0
560,605,12,0
565,628,11,0
570,645,12,0
575,652,11,0
580,646,12,0
585,633,11,0
590,621,12,0
595,611,11,0
600,601,12,0
605,591,11,0
610,581,12,0
615,575,11,0
620,579,11,0
625,589,11,0
630,600,12,0
635,612,11,0
640,621,11,0
645,630,10,0
650,642,12,0
655,658,12,0
660,674,12,0
665,691,12,0
670,713,12,0
675,735,12,0
680,751,12,0
685,764,11,0
690,781,11,0
695,795,11,0
700,801,12,0
705,803,11,0
710,808,10,0
