CalBP,BP,Error
1,197,11
2,195,11
3,193,11
4,190,11
5,188,11
6,185,11
7,181,11
8,178,11
9,174,11
10,170,11
11,166,11
12,163,11
13,161,11
14,160,10
15,160,10
16,161,10
17,162,10
18,163,10
19,164,10
20,163,10
21,162,10
22,160,10
23,156,10
24,153,10
25,149,10
26,146,10
27,143,10
28,141,9
29,140,10
30,137,10
31,135,10
32,132,10
33,129,10
34,126,10
35,123,10
36,121,10
37,120,10
38,119,9
39,119,10
40,118,10
41,116,10
42,113,10
43,110,10
44,106,10
45,102,9
46,99,10
47,96,10
48,95,10
49,95,10
50,96,10
51,97,10
52,98,10
53,99,10
54,98,9
55,99,9
56,99,10
57,101,9
58,103,9
59,107,9
60,110,9
61,113,9
62,115,9
63,116,9
64,117,10
65,116,9
66,115,10
67,114,10
68,114,10
69,116,10
70,118,10
71,121,10
72,125,10
73,128,10
74,130,10
75,130,10
76,130,9
77,129,9
78,127,9
79,125,9
80,124,9
81,123,9
82,124,9
83,125,9
84,127,9
85,128,9
86,129,9
87,128,9
88,127,9
89,126,9
90,125,9
91,124,10
92,125,10
93,125,10
94,126,10
95,127,10
96,127,10
97,127,10
98,126,10
99,125,10
100,124,10
101,124,10
102,123,10
103,124,10
104,124,10
105,125,10
106,126,10
107,127,10
108,128,10
109,129,10
110,129,10
111,128,10
112,127,10
113,124,9
114,121,10
115,117,9
116,112,10
117,108,10
118,104,9
119,100,9
120,98,9
121,96,10
122,96,10
123,96,9
124,98,9
125,100,9
126,102,9
127,104,9
128,104,9
129,105,9
130,104,9
131,104,9
132,105,9
133,106,10
134,107,10
135,110,10
136,113,10
137,117,10
138,121,10
139,127,10
140,133,10
141,139,10
142,145,10
143,150,10
144,153,10
145,156,10
146,157,10
147,159,10
148,161,10
149,163,10
150,167,10
151,173,10
152,180,10
153,189,10
154,198,10
155,207,10
156,215,10
157,221,10
158,225,10
159,227,10
160,228,10
161,227,10
162,224,10
163,221,10
164,218,10
165,214,10
166,209,10
167,205,10
168,200,10
169,195,10
170,189,10
171,184,10
172,179,10
173,176,10
174,174,10
175,174,10
176,175,10
177,178,10
178,181,10
179,183,10
180,185,10
181,185,10
182,184,10
183,182,10
184,179,10
185,177,10
186,174,10
187,171,10
