is_pos,model,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs
FALSE,offset_curve_acc68,6975.525193660854,5068,-2979.2043398741935,5964.408679748387,5984.001376263804,5958.408679748387,5066,5069
FALSE,offset_curve_acc95,3686.762334606112,5068,-1503.2340953699625,3012.468190739925,3032.060887255342,3006.468190739925,5066,5069
FALSE,offset_curve_interact_acc68,6975.525193660854,5068,-2979.195951805562,5966.391903611124,5992.515498965013,5958.391903611124,5065,5069
FALSE,offset_curve_interact_acc95,3686.762334606112,5068,-1502.7746753381452,3013.5493506762905,3039.67294603018,3005.5493506762905,5065,5069
FALSE,offset_sigma_curve_acc68,6975.525193660854,5068,-2950.3271331091764,5908.654266218353,5934.777861572242,5900.654266218353,5065,5069
FALSE,offset_sigma_curve_acc95,3686.762334606112,5068,-1476.2250494635502,2960.4500989271005,2986.57369428099,2952.4500989271005,5065,5069
FALSE,offset_sigma_curve_interact_oc_acc68,6975.525193660854,5068,-2950.3199568988107,5910.639913797621,5943.2944079899835,5900.639913797621,5064,5069
FALSE,offset_sigma_curve_interact_oc_acc95,3686.762334606112,5068,-1475.7145695609236,2961.429139121847,2994.083633314209,2951.429139121847,5064,5069
FALSE,offset_sigma_curve_interact_oc_sc_acc68,6975.525193660854,5068,-2945.349632266696,5902.699264533392,5941.8846575642265,5890.699264533392,5063,5069
FALSE,offset_sigma_curve_interact_oc_sc_acc95,3686.762334606112,5068,-1469.8191746916327,2951.6383493832654,2990.8237424140993,2939.6383493832654,5063,5069
FALSE,offset_sigma_curve_interact_oc_sc_ocs_acc68,6975.525193660854,5068,-2853.4835827399284,5722.967165479857,5775.2143561876355,5706.967165479857,5061,5069
FALSE,offset_sigma_curve_interact_oc_sc_ocs_acc95,3686.762334606112,5068,-1451.2728681749372,2918.5457363498745,2970.7929270576533,2902.545736349874,5061,5069
FALSE,offset_sigma_curve_interact_os_acc68,6975.525193660854,5068,-2862.9318018904155,5735.863603780831,5768.518097973193,5725.863603780831,5064,5069
FALSE,offset_sigma_curve_interact_os_acc95,3686.762334606112,5068,-1459.4199461680287,2928.8398923360573,2961.494386528419,2918.8398923360573,5064,5069
FALSE,offset_sigma_curve_interact_os_cs_acc68,6975.525193660854,5068,-2854.8150238626367,5721.6300477252735,5760.815440756108,5709.6300477252735,5063,5069
FALSE,offset_sigma_curve_interact_os_cs_acc95,3686.762334606112,5068,-1451.556339881387,2915.112679762774,2954.298072793608,2903.112679762774,5063,5069
FALSE,offset_sigma_curve_comb_acc68,6975.525193660854,5068,-2950.2336562160713,5906.4673124321425,5926.060008947559,5900.4673124321425,5066,5069
FALSE,offset_sigma_curve_comb_acc95,3686.762334606112,5068,-1490.6240508080577,2987.2481016161155,3006.8407981315327,2981.2481016161155,5066,5069
FALSE,offset_sigma_curve_comb_interact_acc68,6975.525193660854,5068,-2879.9340113874646,5767.868022774929,5793.991618128818,5759.868022774929,5065,5069
