offset_pos,binned_targets,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model,bin_start
FALSE,21,127.02014172633255,95,-57.08066185705644,118.16132371411288,123.29002009704855,114.16132371411288,94,96,offset_only_acc68,4854
FALSE,24,137.6277627427177,99,-63.20244351274701,130.40488702549402,135.6152273974702,126.404887025494,98,100,offset_only_acc68,5544
FALSE,28,124.11563638162689,93,-57.672772590460205,119.3455451809204,124.43213474546042,115.3455451809204,92,94,offset_only_acc68,6529
TRUE,40,132.9175437420132,95,-56.51221154068815,117.0244230813763,122.15311946431196,113.0244230813763,94,96,offset_only_acc68,9579
TRUE,45,137.6277627427177,99,-60.181630615222815,124.36326123044564,129.5736016024218,120.36326123044562,98,100,offset_only_acc68,10829
FALSE,2,148.09976667462996,106,-65.04919585422563,134.09839170845126,139.44404937737508,130.09839170845126,105,107,offset_only_acc68,214
TRUE,32,129.91908885461552,97,-51.74292899426841,107.48585798853682,112.65579294587796,103.48585798853682,96,98,offset_only_acc68,7518
TRUE,34,130.4214186317749,94,-50.942909992288165,105.88581998457632,110.9935737677774,101.88581998457632,93,95,offset_only_acc68,8011
TRUE,50,139.768104518252,100,-61.315472885724965,126.63094577144992,131.86118680513246,122.63094577144992,99,101,offset_only_acc68,12047
TRUE,38,121.84330858082906,93,-53.49331822530771,110.98663645061542,116.07322601515544,106.98663645061542,92,94,offset_only_acc68,9076
FALSE,47,118.65778656741035,86,-45.847362085056346,95.69472417011268,100.62654040742186,91.69472417011268,85,87,offset_only_acc68,11320
TRUE,44,147.13029516048115,111,-63.53876454409513,131.07752908819026,136.51452683078043,127.07752908819025,110,112,offset_only_acc68,10567
FALSE,13,142.70092819596545,102,-59.01802531898253,122.03605063796503,127.30550861442433,118.03605063796503,101,103,offset_only_acc68,2922
FALSE,33,131.57063574666168,100,-54.49790124175844,112.99580248351688,118.2260435171994,108.99580248351688,99,101,offset_only_acc68,7751
TRUE,11,135.53113101466573,98,-59.01253120808023,122.02506241616048,127.21530211642964,118.02506241616048,97,99,offset_only_acc68,2413
FALSE,35,136.65932850715456,102,-65.67106120397406,135.34212240794812,140.6115803844074,131.34212240794812,101,103,offset_only_acc68,8252
TRUE,1,125.9538770284216,95,-49.010637158886055,102.02127431777213,107.14997070070778,98.02127431777213,94,96,offset_only_acc68,1
TRUE,37,129.78539123247575,98,-56.0868662738218,116.1737325476436,121.36397224791276,112.1737325476436,97,99,offset_only_acc68,8813
FALSE,36,127.10220656086578,92,-59.08531299171917,122.17062598343834,127.23582496974484,118.17062598343834,91,93,offset_only_acc68,8557
TRUE,23,121.99390377855038,87,-52.90074168745452,109.80148337490904,114.75615700386544,105.80148337490904,86,88,offset_only_acc68,5325
TRUE,3,145.58579501013784,105,-64.55021258112131,133.10042516224263,138.42730335046676,129.10042516224263,104,106,offset_only_acc68,481
TRUE,42,136.61943383528504,101,-63.15415491930344,130.30830983860687,135.55825546517542,126.30830983860686,100,102,offset_only_acc68,10053
FALSE,30,160.8262229271318,117,-66.67874675995951,137.35749351991902,142.89886276885034,133.35749351991902,116,118,offset_only_acc68,7019
FALSE,8,133.22044285106827,96,-56.39090313992237,116.78180627984474,121.93122823685152,112.78180627984474,95,97,offset_only_acc68,1689
FALSE,50,136.74777901312717,98,-57.979457184481994,119.958914368964,125.14915406923316,115.95891436896396,97,99,offset_only_acc68,12047
TRUE,36,136.6714644661412,106,-55.60129406281158,115.20258812562317,120.54824579454696,111.20258812562317,105,107,offset_only_acc68,8557
FALSE,37,137.7797452289034,100,-61.272508961018104,126.5450179220362,131.77525895571873,122.5450179220362,99,101,offset_only_acc68,8813
TRUE,2,122.12157167173172,92,-53.243845519536166,110.48769103907232,115.55289002537884,106.48769103907232,91,93,offset_only_acc68,214
TRUE,26,150.8766470603462,108,-67.70269343411802,139.40538686823604,144.7880826326943,135.405386868236,107,109,offset_only_acc68,6026
TRUE,6,127.3651133450589,91,-60.39644323389643,124.79288646779284,129.83646362189094,120.79288646779284,90,92,offset_only_acc68,1206
FALSE,27,130.87573021357468,97,-59.79554205928616,123.59108411857233,128.76101907591345,119.59108411857233,96,98,offset_only_acc68,6261
TRUE,43,133.63429920832436,96,-53.08001633470563,110.16003266941128,115.30945462641805,106.16003266941128,95,97,offset_only_acc68,10313
