target_year,offset_pos,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model
1,FALSE,711.613379655368,513,-298.1998536003572,600.3997072007144,608.8841537316247,596.3997072007144,512,514,offset_only_acc68
1,TRUE,668.585913501418,485,-288.751057443884,581.502114887768,589.874532135569,577.502114887768,484,486,offset_only_acc68
1206,FALSE,705.1817225833967,508,-303.1041241374615,610.208248274923,618.673144308024,606.208248274923,507,509,offset_only_acc68
1206,TRUE,680.5055526206003,490,-300.82754519750455,605.6550903950091,614.0479786505981,601.6550903950091,489,491,offset_only_acc68
2413,FALSE,716.6194042401037,516,-307.2045375246273,618.4090750492546,626.9051607982715,614.4090750492546,515,517,offset_only_acc68
2413,TRUE,668.2856021551269,482,-295.32808670516357,594.6561734103271,603.0162067176323,590.6561734103271,481,483,offset_only_acc68
3661,FALSE,715.303485009777,516,-316.53831558965635,637.0766311793127,645.5727169283296,633.0766311793127,515,517,offset_only_acc68
3661,TRUE,667.0417202369669,482,-294.88049423145435,593.7609884629087,602.1210217702138,589.7609884629087,481,483,offset_only_acc68
4854,FALSE,697.3653306639112,504,-295.5255492461706,595.0510984923412,603.500215350892,591.0510984923412,503,505,offset_only_acc68
4854,TRUE,685.971244187042,494,-299.2635757885505,602.527151577101,610.9362671022384,598.527151577101,493,495,offset_only_acc68
6026,FALSE,679.741783679349,504,-293.0348996739225,590.069799347845,598.5189162063957,586.069799347845,503,505,offset_only_acc68
6026,TRUE,676.5661343416922,494,-305.869481759014,615.738963518028,624.1480790431654,611.738963518028,493,495,offset_only_acc68
7273,TRUE,654.65081309761,485,-284.01592599507893,572.0318519901579,580.4042692379588,568.0318519901579,484,486,offset_only_acc68
7273,FALSE,692.9754194575079,513,-299.68977494617076,603.3795498923415,611.8639964232518,599.3795498923415,512,514,offset_only_acc68
8557,TRUE,647.7111138823084,486,-277.32107181462703,558.6421436292541,567.0186718754193,554.6421436292541,485,487,offset_only_acc68
8557,FALSE,677.343372300798,512,-294.8137666561518,593.6275333123036,602.1080850026451,589.6275333123036,511,513,offset_only_acc68
9808,TRUE,688.5099922402939,511,-305.7798070572388,615.5596141144777,624.0362633645567,611.5596141144777,510,512,offset_only_acc68
9808,FALSE,662.6673758685752,487,-278.25239294299104,560.5047858859821,568.8854166976884,556.5047858859821,486,488,offset_only_acc68
11091,TRUE,686.9604549123441,512,-279.43684623669105,562.8736924733821,571.3542441637236,558.8736924733821,511,513,offset_only_acc68
11091,FALSE,662.8995764265991,486,-280.0675183980901,564.1350367961802,572.5115650423454,560.1350367961802,485,487,offset_only_acc68
1,FALSE,711.613379655368,513,-349.7758089464159,703.5516178928318,712.0360644237421,699.5516178928318,512,514,sigma_only_acc68
1,TRUE,668.585913501418,485,-329.8578458916711,663.7156917833422,672.0881090311432,659.7156917833422,484,486,sigma_only_acc68
1206,FALSE,705.1817225833967,508,-344.629208001571,693.258416003142,701.723312036243,689.258416003142,507,509,sigma_only_acc68
1206,TRUE,680.5055526206003,490,-337.24472868744897,678.4894573748979,686.882345630487,674.4894573748979,489,491,sigma_only_acc68
2413,FALSE,716.6194042401037,516,-357.91888277196233,719.8377655439247,728.3338512929415,715.8377655439247,515,517,sigma_only_acc68
2413,TRUE,668.2856021551269,482,-332.426494225745,668.85298845149,677.2130217587951,664.85298845149,481,483,sigma_only_acc68
3661,FALSE,715.303485009777,516,-353.2862205242948,710.5724410485896,719.0685267976064,706.5724410485896,515,517,sigma_only_acc68
3661,TRUE,667.0417202369669,482,-330.20742915010715,664.4148583002143,672.7748916075194,660.4148583002143,481,483,sigma_only_acc68
4854,FALSE,697.3653306639112,504,-338.10128572370945,680.2025714474189,688.6516883059696,676.2025714474189,503,505,sigma_only_acc68
4854,TRUE,685.971244187042,494,-340.8471136573217,685.6942273146434,694.1033428397808,681.6942273146434,493,495,sigma_only_acc68
