sim_number,oxcal_target,a_pass,targets,span,samples,errors,offset,offset_sd,model_run,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95
1,T6890,Pass,6890,76,5,30,41.15071159,4.508399125,1,0,0,26.5,65,41.5,25
2,T6856,Pass,6856,94,10,13,-10.53496448,13.24144631,1,0,1,16.5,37.5,4,0
3,T6885,Pass,6885,42,9,22,36.9812934,6.403895709,1,0,0,13,25.5,45,39
4,T6921,Pass,6921,48,13,30,-30.49007596,9.427323425,1,0,0,19.5,42,40.5,28.5
5,T6949,Pass,6949,46,13,21,-22.51340949,12.68911189,1,0,0,27.5,46.5,25,10
6,T6832,Pass,6832,70,25,25,17.80086523,20.708743,1,0,1,37.5,48.5,2.5,0
7,T6923,Pass,6923,33,12,27,-22.50530608,23.49322261,1,0,0,23,60.5,42.5,11.5
8,T6940,Pass,6940,54,12,16,0.869209575,11.45090265,1,1,1,15,28,0,0
9,T6919,Pass,6919,47,8,23,-46.48426699,20.23482887,1,0,0,27,59,70.5,45
10,T6885,Pass,6885,78,7,30,-19.86326508,18.35662662,1,0,1,33,66,1.5,0
11,T6927,Pass,6927,42,9,11,25.84475097,12.46099897,1,0,0,26,39,8.5,3.5
12,T6845,Pass,6845,43,11,24,-30.5591152,14.10826325,1,0,1,29,61,2,0
13,T6802,Pass,6802,100,3,17,48.79721249,8.82856776,1,0,0,35,58,53,45
14,T6994,Pass,6994,58,18,19,39.52012344,18.36742564,1,0,0,23.5,54,49,23.5
15,T6989,Pass,6989,90,7,13,6.632018345,1.049274877,1,1,1,19,44,0,0
16,T6948,Pass,6948,83,22,21,3.095050319,15.40309853,1,1,1,10.5,20.5,0,0
17,T6973,Pass,6973,43,6,26,-18.23713337,2.969712572,1,0,1,29.5,54,7.5,0
18,T6839,Pass,6839,41,13,32,17.93055327,4.777789005,1,0,1,26,54.5,22.5,0
19,T6951,Pass,6951,28,24,19,-13.0129358,11.41717101,1,1,1,11,22.5,0,0
20,T6932,Pass,6932,91,2,30,-16.58267195,8.012721861,1,0,1,57.5,146,11,0
21,T6805,Fail,6805,38,8,11,-6.603146903,25.98856634,1,1,1,10.5,23,0,0
22,T6925,Pass,6925,81,20,16,11.3966557,10.06733887,1,0,1,10.5,21,0.5,0
23,T6971,Pass,6971,88,21,12,38.93205083,19.46667652,1,0,0,13.5,30,57,48.5
