X1,SimNumber,Targets,Span,Samples,Phases,Errors,OffsetVaria
1,1,271,61,10,6,26,1.76980230845325
2,2,1070,132,11,9,14,25.8984839143092
3,3,364,177,12,3,24,1.49935416982556
4,4,634,92,16,2,20,6.01595199137204
5,5,754,193,18,7,17,11.6618044923474
6,6,1183,27,30,9,28,16.4769501628969
7,7,438,127,37,8,32,13.3046423546588
8,8,1130,41,36,9,22,22.9132775177129
9,9,308,115,11,9,20,6.45154612313444
10,10,269,157,10,10,20,17.2166540330506
11,11,439,112,25,5,27,12.2173341285759
12,12,814,34,27,9,22,24.4073434380153
13,13,996,197,16,7,20,3.28322247451078
14,14,712,34,18,9,17,4.41381125147152
15,15,1163,56,37,5,22,19.9395572263482
16,16,506,93,38,7,14,16.0701737680766
17,17,790,40,37,2,13,21.783272987996
18,18,784,91,39,2,31,18.8338820549215
19,19,1159,68,20,10,14,10.3923864096194
20,20,523,154,16,3,31,17.3797834523546
21,21,385,100,32,5,27,20.6567446661396
22,22,417,97,10,8,14,14.1486417955039
23,23,1157,73,38,2,27,16.4488552402703
24,24,316,96,10,5,13,3.67076597696356
25,25,603,51,25,3,23,15.2846275128054
26,26,258,62,16,2,31,6.67092262473353
27,27,595,89,36,3,26,2.38008734094398
28,28,670,108,31,3,8,4.57441228907881
29,29,861,185,10,2,19,6.70263319840096
30,30,440,78,22,9,18,5.73282380268583
31,31,644,180,16,7,31,11.7925875792534
32,32,980,50,36,8,13,18.5824442091966
33,33,363,148,15,5,13,26.18106869969
34,34,934,153,38,2,27,7.69463396349014
35,35,1103,180,32,3,12,14.5362160543061
36,36,444,54,13,9,29,21.9389222965315
37,37,912,59,17,2,31,21.1072823301861
38,38,811,150,39,4,20,20.4104873804282
39,39,554,38,37,7,19,8.69899234597548
40,40,1112,41,36,5,26,19.5947174559436
41,41,643,178,28,4,9,25.2383968742986
42,42,1067,94,24,9,13,21.779612377774
43,43,707,28,16,3,26,16.2473829135543
44,44,1169,116,16,1,31,1.16333464793512
45,45,553,58,16,1,11,15.8005780523166
46,46,879,119,26,8,30,8.44088481466263
