"","sim_number","oxcal_target","agreement_model","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"1",1,"TEB2536",98.55,1,10030,95,39,1,20,16.3512418613094,1,1,1,104,232.5,0,0,0
"2",1,"TSB2671",98.55,1,10030,95,39,1,20,16.3512418613094,1,0,1,75.5,229,16,0,0
"3",2,"TEB5962",94.65,2,11444,114,27,1,20,21.1356957800048,1,1,1,63.5,141.5,0,0,0
"4",2,"TSB6079",94.65,2,11444,114,27,1,20,21.1356957800048,1,1,1,118,219.5,0,0,0
"5",3,"TEB1298",91.1,3,7012,179,6,1,26,15.3820996778593,1,1,1,13,35,0,0,0
"6",3,"TSB1361",91.1,3,7012,179,6,1,26,15.3820996778593,1,1,1,28.5,60.5,0,0,0
"7",4,"TEB6859",63.85,4,765,137,25,1,10,12.1951695607228,1,1,1,47.5,125,0,0,0
"8",4,"TSB6911",63.85,4,765,137,25,1,10,12.1951695607228,1,1,1,41.5,81.5,0,0,0
"9",5,"TEB7689",134.25,5,9665,198,22,1,21,20.856281736715,1,1,1,17,40.5,0,0,0
"10",5,"TSB7719",134.25,5,9665,198,22,1,21,20.856281736715,1,1,1,31,50.5,0,0,0
"11",6,"TEB5112",104.95,6,5777,93,27,1,24,21.0959758704163,1,0,1,81.5,183.5,6,0,0
"12",6,"TSB5144",104.95,6,5777,93,27,1,24,21.0959758704163,1,1,1,120.5,242.5,0,0,0
"13",7,"TEB3955",0,7,6505,45,10,1,30,6.85736904644291,0,0,0,0,0,0,0,0
"14",7,"TSB4094",0,7,6505,45,10,1,30,6.85736904644291,0,0,0,0,0,0,0,0
"15",8,"TEB10500",97.8,8,2501,105,6,1,23,18.1927035558147,1,1,1,78.5,134.5,0,0,0
"16",8,"TSB10607",97.8,8,2501,105,6,1,23,18.1927035558147,1,1,1,54,110,0,0,0
"17",9,"TEB9600",92.05,9,904,39,33,1,21,20.0047656538386,1,1,1,90,150,0,0,0
"18",9,"TSB9759",92.05,9,904,39,33,1,21,20.0047656538386,1,1,1,81,178.5,0,0,0
"19",10,"TEB1189",83.55,10,310,170,25,1,20,4.94051697480888,1,1,1,39,77,0,0,0
"20",10,"TSB1280",83.55,10,310,170,25,1,20,4.94051697480888,1,1,1,34.5,80,0,0,0
"21",11,"TEB9472",120.55,11,8927,139,9,1,8,21.1005448448942,1,1,1,28,57,0,0,0
"22",11,"TSB9584",120.55,11,8927,139,9,1,8,21.1005448448942,1,0,1,24,50.5,2.5,0,0
"23",12,"TEB1855",102.55,12,10023,109,11,1,29,10.3909423481124,1,0,1,33,65,5.5,0,0
"24",12,"TSB2011",102.55,12,10023,109,11,1,29,10.3909423481124,1,1,1,28,76.5,0,0,0
"25",13,"TEB8198",73.1,13,9408,89,19,1,9,6.13832381208916,1,1,1,63,140.5,0,0,0
"26",13,"TSB8362",73.1,13,9408,89,19,1,9,6.13832381208916,1,1,1,86,155.5,0,0,0
