"","SimNumber","Targets","Span","Samples","Errors","Offset","OffsetVaria"
"1",1,6890,76,5,30,41.1507115932181,4.50839912494435
"2",2,6856,94,10,13,-10.5349644785747,13.241446311719
"3",3,6885,42,9,22,36.981293396093,6.40389570889389
"4",4,6921,48,13,30,-30.490075959824,9.42732342506293
"5",5,6949,46,13,21,-22.5134094944224,12.689111886926
"6",6,6832,70,25,25,17.8008652292192,20.708743004008
"7",7,6923,33,12,27,-22.5053060799837,23.4932226053309
"8",8,6940,54,12,16,0.869209575466812,11.4509026514187
"9",9,6919,47,8,23,-46.4842669898644,20.2348288732239
"10",10,6885,78,7,30,-19.8632650775835,18.3566266184996
"11",11,6927,42,9,11,25.8447509724647,12.4609989717728
"12",12,6845,43,11,24,-30.5591152049601,14.1082632496434
"13",13,6802,100,3,17,48.7972124945372,8.8285677602957
"14",14,6994,58,18,19,39.5201234379783,18.3674256386072
"15",15,6989,90,7,13,6.63201834540814,1.0492748771871
"16",16,6948,83,22,21,3.09505031909794,15.4030985276254
"17",17,6973,43,6,26,-18.2371333707124,2.96971257154643
"18",18,6839,41,13,32,17.9305532714352,4.77778900452983
"19",19,6951,28,24,19,-13.0129358032718,11.4171710061515
"20",20,6932,91,2,30,-16.5826719487086,8.01272186114965
"21",21,6805,38,8,11,-6.60314690321684,25.9885663435208
"22",22,6925,81,20,16,11.3966556964442,10.0673388652576
"23",23,6971,88,21,12,38.9320508344099,19.4666765212449
"24",24,6920,32,11,27,-39.057111274451,3.41217305060965
"25",25,6863,43,13,31,5.79853428062052,17.0326922863219
"26",26,6939,46,11,11,22.5371540291235,1.37079136435105
"27",27,6994,58,24,18,-20.6322439247742,22.4990744053936
"28",28,6840,67,24,29,0.486261816695333,11.1275620690265
"29",29,6963,36,5,8,41.0244616912678,15.8286534229128
"30",30,6958,73,11,14,27.8991207946092,16.5152765167912
"31",31,6815,82,16,28,24.0374734159559,4.85298848251952
"32",32,6812,91,7,23,31.3198166200891,21.6594877017071
"33",33,6894,98,11,27,-13.380014244467,22.902301634714
"34",34,6883,73,25,14,-5.57790186721832,11.7321886118955
"35",35,6833,58,16,13,-15.3946706093848,11.3537614333224
"36",36,6801,56,23,26,-29.9630020745099,13.9717740054014
"37",37,6997,28,23,23,-49.2482443340123,4.85451459592045
"38",38,6989,74,17,13,-40.6937680440024,22.4095853361897
"39",39,6932,66,10,29,4.38848552294075,7.44422536650556
"40",40,6981,91,23,15,7.73007874377072,4.10737533355807
"41",41,6839,35,13,12,-8.28798834700137,22.0731827203676
"42",42,6907,44,3,15,-12.5327475136146,15.9024845055679
"43",43,6904,90,22,21,-33.8057250250131,4.38508569720085
"44",44,6913,73,10,26,-28.875097213313,3.7935771106407
"45",45,6916,39,4,25,-0.886874366551638,16.0709750126256
"46",46,6990,28,2,14,32.5228224508464,15.5495402920954
"47",47,6972,79,18,23,30.1897911122069,0.789686932028038
"48",48,6950,40,3,27,2.92561580426991,7.68459322775877
"49",49,6829,43,24,8,-34.9178759381175,6.13475682826689
"50",50,6816,55,25,15,-36.3614236935973,18.2871261223927
"51",51,6892,72,8,28,20.3386753099039,24.8388720060962
"52",52,6913,60,12,13,-4.69962621573359,14.207218611114
"53",53,6820,40,22,21,-13.7246263679117,9.83789417857933
"54",54,6874,79,23,31,30.711139854975,26.4620039822552
"55",55,6856,64,13,26,35.9247501473874,15.9194335307593
"56",56,6874,36,21,23,35.4005211265758,26.0194552938584
"57",57,6943,78,24,27,28.5680996021256,3.05691729850112
"58",58,6970,85,9,16,-17.5482511520386,4.68616039779526
"59",59,6998,73,24,31,42.7398340310901,8.49858227631869
"60",60,6996,92,19,8,-32.884107879363,3.28732993716304
"61",61,6836,74,11,13,2.8278675628826,17.1956578794781
"62",62,6832,41,21,9,-21.5714555233717,24.1433565821729
"63",63,6827,27,23,11,-41.047777980566,25.3123284873364
"64",64,6860,55,2,20,-5.05669622216374,15.181441293098
"65",65,6858,78,19,17,-16.7249657213688,7.97098389081354
"66",66,6864,87,23,8,38.4258815087378,0.487994759928668
"67",67,6973,90,12,12,20.1377234654501,16.7688525550349
"68",68,6825,28,6,28,32.1884924778715,22.7096380622135
"69",69,6827,37,20,12,26.2049556942657,19.648987173355
"70",70,6850,78,23,26,-23.0691253440455,0.591787604669109
"71",71,6833,72,17,22,25.6881430046633,8.19615237754746
"72",72,6867,37,3,20,36.1880777170882,5.72870701749716
"73",73,6837,83,24,10,-35.9827499138191,10.0747675262371
"74",74,6973,66,16,18,44.7131719440222,17.357743372137
"75",75,6820,54,3,31,-38.809852884151,22.1908417984112
"76",76,6890,77,25,31,20.3502680640668,12.6539814539917
"77",77,6908,84,6,9,-33.4536079317331,12.0114772174039
"78",78,6960,58,21,10,42.8561720298603,25.99131850311
"79",79,6846,49,3,12,5.28473244048655,17.3618881619535
"80",80,6853,32,22,32,13.8085753191262,23.1334690779967
"81",81,6908,52,10,18,20.7967113470659,15.1755387331799
"82",82,6931,65,8,30,13.3155603893101,22.4354460521932
"83",83,6962,44,14,8,38.770389999263,0.991415699447738
"84",84,6816,90,6,9,-9.22485699411482,8.20476298313332
"85",85,6967,53,6,18,8.97140877787024,10.9588441130577
"86",86,6934,83,8,9,-16.8964881217107,25.6146921843765
"87",87,6956,87,2,21,48.8922485150397,15.0405196486111
"88",88,6985,29,8,21,15.7908577239141,24.4448295296768
"89",89,6858,64,21,24,-16.4747945265844,5.39607528436114
"90",90,6965,29,25,20,15.8144705928862,22.423718677745
"91",91,6955,68,20,8,36.574570951052,7.47246594528016
"92",92,6986,68,13,20,47.8915742831305,12.4210420501153
"93",93,6955,31,22,16,44.2095084348693,14.9296800275461
"94",94,6877,64,2,23,32.3334054090083,11.1140462668438
"95",95,6876,27,20,31,-1.2899934547022,8.01780230415566
"96",96,6961,41,17,23,-18.6700867954642,1.20524508210993
