"","SimNumber","Targets","Span","Samples","Phases","Errors","Offset","OffsetVaria"
"1",1,6586,120,10,8,9,48.9024966955185,13.6512352986794
"2",2,4458,32,23,6,15,-17.2885299194604,17.4387461136179
"3",3,10741,163,19,3,14,-41.6753819910809,20.9185481605094
"4",4,339,74,16,8,9,-39.2342990264297,21.1397647247254
"5",5,5399,179,27,6,24,-23.1963326688856,8.23885245708632
"6",6,1121,48,20,8,9,-33.9058947516605,18.8704572712269
"7",7,12009,70,37,1,10,3.71662797406316,4.62930069344165
"8",8,3991,94,31,2,26,-46.4521810645238,18.4569717782689
"9",9,1900,61,31,4,22,17.9560428950936,14.9671172977446
"10",10,1357,86,34,10,13,6.26638047397137,3.74141423093015
"11",11,6888,174,23,3,19,-10.3604309260845,13.5507920702694
"12",12,306,147,23,10,16,36.4335027989,9.86906566778687
"13",13,9991,32,19,1,31,-16.4690386038274,10.1568192412425
"14",14,9968,124,24,8,15,-46.6236816952005,20.8312995725942
"15",15,590,32,29,9,20,-3.10691241174936,25.225154911597
"16",16,7097,37,22,1,10,28.6118614254519,2.52847578181582
"17",17,2452,61,20,6,20,-1.47685613483191,13.5107838962558
"18",18,11914,195,37,1,31,-38.4864016668871,23.0429649011865
"19",19,9375,155,37,4,14,-17.7390713710338,22.1861021308212
"20",20,1082,50,27,9,32,48.5172418877482,2.72977286829241
"21",21,796,98,37,4,12,-25.4744406556711,18.0970177454494
"22",22,5538,44,26,4,16,-6.0652335640043,11.6767795275243
"23",23,3406,59,24,2,13,-30.5055822245777,16.4320496624459
"24",24,11391,199,32,6,10,-14.0127776190639,23.0816140887788
"25",25,6407,178,31,10,21,36.2341628177091,11.3081850644061
"26",26,9810,129,31,10,11,24.2082931799814,18.4366671520614
"27",27,3774,73,15,2,27,-37.7840007189661,14.2027693673717
"28",28,2486,28,14,9,10,13.0904195364565,16.3424547013212
"29",29,2687,72,25,9,19,14.2198744928464,6.45038375523756
"30",30,10890,164,18,5,32,35.100784804672,16.289483525004
"31",31,5276,88,11,4,15,1.10658807680011,2.86901702384511
"32",32,12179,136,16,10,27,49.4136427761987,12.8480832081996
"33",33,8798,82,40,8,10,15.0280681671575,21.7145176901636
"34",34,4796,161,12,7,31,-32.9105664044619,4.87309445417556
"35",35,8932,130,16,7,21,-34.4680679496378,23.1221217434395
"36",36,10753,70,23,2,25,34.0279817814007,18.4610228306297
"37",37,4831,35,18,9,25,27.7879665372893,5.29730079613836
"38",38,7923,37,19,9,27,-29.4023387832567,21.2018964005415
"39",39,10140,40,10,3,20,-26.7236513318494,12.7026806443238
"40",40,5234,55,21,9,25,5.24703685659915,20.2820115935199
"41",41,9235,172,39,1,12,30.1121760625392,22.5238693043753
"42",42,11283,75,21,10,21,-30.3028759546578,12.1069696298696
"43",43,9254,137,25,7,28,-6.60559723619372,5.42902010385343
"44",44,10593,176,11,10,24,-42.1348554315045,19.7730943000074
"45",45,5320,34,27,7,18,-47.1578665310517,16.8127612943242
"46",46,7124,61,28,1,22,-32.2294086916372,0.959117337083211
"47",47,12234,146,32,4,17,-2.44359856005758,4.2613827404459
"48",48,6011,154,12,7,18,27.5963896187022,3.83804946543206
"49",49,658,45,35,3,14,-27.1746798418462,7.52891688942048
"50",50,1865,65,34,10,17,43.7110749306157,13.286345917552
"51",51,8543,193,30,7,22,4.64789730031043,20.0472506116852
"52",52,4888,80,27,7,32,5.32781644724309,8.41776987869665
"53",53,1293,84,15,6,30,5.65041578374803,3.65619775851956
"54",54,3356,143,16,3,30,4.64130598120391,21.8552485589071
"55",55,1797,193,32,2,21,32.4462867341936,14.7524254910026
"56",56,507,91,14,5,26,-44.602168072015,21.11750715979
"57",57,8415,62,36,6,30,12.3021956766024,21.2933688995221
"58",58,7730,42,36,3,16,-11.8812295608222,8.16082641196996
"59",59,4203,42,15,6,17,-6.26650804188102,11.5982966657842
"60",60,9771,136,25,10,13,3.63320591859519,2.81814602186717
"61",61,7265,110,36,2,22,46.3717991719022,2.09249795765313
"62",62,1637,151,36,5,11,-27.0820882171392,17.3570625369994
"63",63,1174,91,40,3,16,7.91601061355323,18.8630963976118
"64",64,10764,85,14,3,12,32.6496447203681,9.28016665721801
"65",65,6725,159,12,10,13,38.6061838595197,16.8716517321519
"66",66,5271,108,36,10,10,11.8311246158555,25.482368386372
"67",67,11387,124,27,1,10,-24.8464179690927,9.19184561976837
"68",68,7221,165,21,8,14,-36.6805189056322,4.71480535007012
"69",69,10343,37,40,9,21,6.35063713416457,14.3800014520886
"70",70,1419,31,31,7,27,49.0753788501024,11.1369146337528
"71",71,11698,180,30,1,19,40.6064324313775,18.5662188805991
"72",72,5175,87,11,7,15,23.4642083058134,10.093074661741
"73",73,4192,106,25,7,22,-3.76748892012984,0.993861424612114
