"","SimNumber","Targets","Span","Samples","Errors","Offset","OffsetVaria"
"1",1,5506,68,13,17,35.0402870913967,14.8251671017024
"2",2,2623,88,15,20,33.2372646313161,23.9138641784221
"3",3,1966,62,8,26,-21.233039884828,14.4842184753206
"4",4,8200,60,24,26,-11.6497109178454,15.4815016634783
"5",5,10497,31,6,31,43.1769100483507,24.0421913476884
"6",6,4252,79,7,21,41.6549592278898,22.2799072814223
"7",7,5425,30,2,25,16.1605071276426,18.3152523072907
"8",8,1414,96,2,25,-49.2573060793802,7.10834889094648
"9",9,10927,60,4,29,41.0766914719716,10.1534796446336
"10",10,346,82,21,26,24.2814098251984,18.6191696904751
"11",11,2882,97,13,24,23.7218396505341,8.26365732643124
"12",12,3311,58,14,16,8.42382931150496,7.57104058818403
"13",13,6390,73,18,19,-9.7151987021789,22.6187820599128
"14",14,7587,55,5,12,28.1013514613733,22.8006580449066
"15",15,7256,76,9,8,-30.5231652688235,23.5054597948063
"16",16,6587,36,10,19,15.2674587676302,4.34365262501454
"17",17,6755,54,12,25,11.7563758511096,23.3792438252748
"18",18,10109,91,20,20,-46.6203096089885,3.38833626281377
"19",19,9846,66,25,25,25.4977151285857,15.9368090110908
"20",20,9537,70,22,28,-0.85977369453758,9.99624694246682
"21",21,10951,30,4,22,-2.70155838225037,2.90719976995815
"22",22,10993,26,18,20,-37.1037255739793,20.0811042581669
"23",23,11467,72,25,25,0.372415618039668,2.82321352067636
"24",24,8821,42,16,28,20.0937036890537,21.6688086524846
"25",25,3382,87,20,9,37.4137085862458,5.51625534653617
"26",26,10101,40,18,15,32.5287331826985,7.26568433227693
"27",27,3473,90,17,22,-47.9912356240675,2.74137940761447
"28",28,7421,34,17,32,49.5966122252867,3.12329319012607
"29",29,1089,63,18,17,-12.9376217490062,23.9950890072761
"30",30,11660,74,24,27,-1.42656867392361,23.5348070777296
"31",31,11158,86,23,22,20.1023261295632,24.5526720262382
"32",32,8829,77,21,26,4.44505854975432,19.6371877790738
"33",33,5179,81,25,12,34.1750062303618,24.385817053616
"34",34,10722,41,2,27,-10.0194070255384,6.46105056931591
"35",35,10533,91,6,24,0.217654462903738,18.0979412194947
"36",36,6010,58,2,27,47.1116323955357,3.02845631670323
"37",37,1653,61,12,27,3.50329633802176,5.27496614598134
"38",38,1499,93,22,30,33.2646931987256,14.5943758360289
"39",39,5266,35,3,13,44.3403674056754,1.08482464533625
"40",40,652,73,3,17,-39.847000525333,1.77549160378263
"41",41,2497,46,6,31,33.004390145652,22.664960420358
"42",42,2522,51,12,11,-10.1330934558064,10.9168665084965
"43",43,9174,42,4,21,25.1854499569163,24.0923336678909
"44",44,11120,73,19,31,-21.6157656162977,13.4682712361005
"45",45,7240,76,9,31,0.948109361343086,17.2929490849073
"46",46,8114,74,22,21,-28.7855673814192,24.6110478242713
"47",47,2813,78,12,22,-28.2214036909863,20.5709547559384
"48",48,10139,47,3,15,19.1317304736003,25.8752015552141
"49",49,3026,86,14,18,-16.4968211203814,8.11410301322793
"50",50,3662,51,19,15,-9.74558291491121,23.7758151646336
"51",51,9910,27,17,16,-15.0492348475382,1.73549449218321
"52",52,3559,85,4,18,34.0766380541027,8.91322638594778
"53",53,11325,55,19,25,-4.65450785122812,21.6950067505254
"54",54,7216,55,7,8,40.7732482533902,4.84482097196835
"55",55,1085,27,12,31,7.25830097217113,18.6368683993705
