"","sim_number","oxcal_target","a_pass","Targets","Span","Samples","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"1",1,"T1008","Pass",1008,100,19,32,3.80408223948465,1,0,1,14.5,25.5,1.5,0,0
"2",2,"T858","Pass",858,66,5,15,18.9465212710213,1,1,1,9,17,0,0,0
"3",3,"T1020","Pass",1020,30,11,22,7.39786684850696,1,1,1,15,31.5,0,0,0
"4",4,"T1012","Fail",1012,54,23,29,25.822286493039,1,1,1,9,16.5,0,0,0
"5",5,"T641","Pass",641,85,2,26,13.3781328469913,1,0,0,13.5,26,8,3.5,0
"6",6,"T535","Pass",535,80,15,19,6.42361205282202,1,1,1,7,13,0,0,0
"7",7,"T1164","Pass",1164,70,2,20,2.11942983987695,1,1,1,37.5,110,0,0,0
"8",8,"T923","Pass",923,98,6,10,21.6807769938302,1,1,1,5,11,0,0,0
"9",9,"T961","Pass",961,44,6,27,13.9918272192753,1,1,1,33,60.5,0,0,0
"10",10,"T738","Pass",738,59,16,30,25.81163870039,1,1,1,18,31,0,0,0
"11",11,"T796","Pass",796,59,3,11,25.5640210770757,1,1,1,17.5,44,0,0,0
"12",12,"T466","Fail",466,83,11,24,23.6935617348661,1,1,1,7,14.5,0,0,0
"13",13,"T457","Pass",457,65,2,13,6.23441203396488,1,1,1,12,25,0,0,0
"14",14,"T728","Pass",728,90,7,25,1.97535303816129,1,0,1,19,38.5,1,0,0
"15",15,"T395","Fail",395,83,24,10,20.2885431562604,1,1,1,7.5,14,0,0,0
"16",16,"T1021","Pass",1021,42,21,19,17.5645286191402,1,0,1,14,41,40,0,0
"17",17,"T1135","Pass",1135,97,14,16,4.42573272717418,1,1,1,7,12.5,0,0,0
"18",18,"T673","Pass",673,72,23,30,12.0501569145545,1,1,1,8.5,17,0,0,0
"19",19,"T911","Pass",911,60,7,17,0.144119332186878,1,1,1,5.5,11.5,0,0,0
"20",20,"T225","FALSE",225,94,7,26,9.35538927804958,0,0,0,0,0,0,0,0
"21",21,"T611","Pass",611,90,5,25,13.6402347303939,1,1,1,12,21,0,0,0
"22",22,"T820","Fail",820,91,22,13,18.0764615773428,1,1,1,11,22.5,0,0,0
"23",23,"T1111","Pass",1111,83,21,27,13.0239861373778,1,1,1,8.5,16,0,0,0
"24",24,"T570","Pass",570,76,6,27,17.7396527987844,1,1,1,16,30,0,0,0
"25",25,"T1045","Fail",1045,29,23,18,14.2781439313563,1,0,1,4,8,0.5,0,0
