target_year,curve_uncert,offset_14c_age,measurement_error,offset_magnitude,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95,sigma_curve_uncert
1,11,178.9758303,15.64919645,-6.407052209,1,1,72,118,NA,NA,19.12844346858083
3,11,234.7652657,30.38356541,28.47586842,0,1,53,159,3,NA,32.31348088683341
4,11,218.9714705,17.69646586,24.48789109,0,1,33,97,4,NA,20.836624101186487
5,11,126.1612176,18.2693953,-47.64587933,0,0,100,188,23,5,21.32535590858127
6,11,113.64859,32.61904995,-48.39986777,0,0,129,212,28,4,34.42386410094885
6,11,215.648967,8.619214222,34.41810408,0,0,17,39,149,145,13.974650400089695
10,11,186.689551,32.15351916,48.95131332,1,1,102,217,NA,NA,33.98306628855741
10,11,212.4360733,21.2263289,25.79627756,0,1,61,126,141,NA,23.90725911874833
11,11,185.6685234,11.34787066,4.210018995,0,1,45,107,11,NA,15.804245268790561
12,11,218.4400348,28.78434736,48.32066086,0,1,69,145,139,NA,30.81458506845645
12,11,183.0068108,12.34391946,21.80182356,0,1,55,110,1,NA,16.53397555444445
12,11,138.1503166,10.27954095,-17.07769111,0,1,72,165,12,NA,15.055529288029927
14,10,122.0412184,31.97782557,-42.03330241,0,1,146,227,13,NA,33.5049448318505
14,10,149.4908208,31.59291521,36.17621767,1,1,137,263,NA,NA,33.137777406854696
15,10,119.0666516,21.65740765,-39.22582911,0,1,111,185,16,NA,23.854628609942317
17,10,132.6645509,32.89453746,-16.53348901,1,1,154,243,NA,NA,34.38096267860083
18,10,175.4079786,29.53340989,27.40928277,1,1,107,223,NA,NA,31.180479466017676
18,10,191.8173055,27.42947601,28.98056717,0,1,101,173,4,NA,29.19548174261157
22,10,125.8075044,19.14084673,-47.89580812,0,1,106,188,6,NA,21.59564802318633
23,10,136.1936544,12.17658674,-10.28130974,0,1,86,178,1,NA,15.756562589497236
23,10,126.9150678,26.33254459,16.44664474,0,1,129,218,2,NA,28.167408552870786
23,10,202.8162525,18.34176265,42.31782986,0,0,56,118,129,2,20.890673926633745
25,10,210.2257483,22.31509467,23.05446819,0,0,62,125,126,4,24.45329119221097
26,10,73.51669139,18.60453517,-40.0546347,0,0,50,118,17,8,21.121759606902234
28,9,132.3593498,10.98852769,0.746083213,1,1,83,161,NA,NA,14.203793183297789
29,10,80.75650009,17.80028098,-46.06105054,0,0,56,123,13,5,20.416904833175614
30,10,189.9751001,11.12507032,49.65435669,0,0,54,112,122,9,14.958849876409113
32,10,104.0661348,13.58947824,-16.27163009,0,0,72,138,8,1,16.872282561509973
35,10,39.10789621,34.39924299,-23.55388827,0,1,62,139,7,NA,35.82328737406806
36,10,135.1862169,8.905831312,-6.113083963,1,1,68,142,NA,NA,13.390811452552068
37,10,84.50429984,30.92594706,-36.56086389,1,1,93,162,NA,NA,32.50252607964376
37,10,130.2965858,19.05896552,9.200363629,1,1,105,209,NA,NA,21.52310773779077
37,10,77.88707528,26.02940429,-30.12284869,0,1,72,141,3,NA,27.8842229171313
38,9,95.36954924,15.11013562,-29.48502437,0,1,60,138,4,NA,17.587387482363397
38,9,132.2163522,26.54606246,0.875262823,1,1,136,227,NA,NA,28.030223547631962
38,9,165.7965282,27.91247733,36.11717906,0,1,113,237,9,NA,29.327570487474137
39,10,140.0379153,26.68381709,34.74862839,1,1,150,254,NA,NA,28.496071562455345
44,10,86.98630421,33.81217574,-24.29403209,1,1,97,177,NA,NA,35.25993800721499
45,9,44.71470866,13.84673357,-45.50991282,0,1,22,56,1,NA,16.514600526763125
45,9,77.4885938,9.528707585,-40.24340685,1,1,32,62,NA,NA,13.107107546687656
46,10,129.8727224,29.1461783,12.84375202,0,1,140,227,1,NA,30.813953162413142
52,10,151.5828468,10.54888307,31.79106861,0,0,71,163,20,17,14.535437180371723
53,10,140.5132754,11.35674392,44.23208891,0,0,79,169,18,7,15.131940802965659
55,9,91.40397614,25.69887451,-24.42381703,1,1,86,150,NA,NA,27.229251753963563
55,9,125.4475476,16.95288844,38.68334848,0,1,95,179,5,NA,19.193760091735168
56,10,66.55526915,18.11997916,-35.92912203,1,1,44,103,NA,NA,20.696222958763133
57,9,170.2549495,28.09873695,44.09203988,0,0,101,226,32,7,29.50489820665876
58,9,69.25796613,26.47397359,-33.63852811,1,1,62,139,NA,NA,27.961961262472585
58,9,113.7621998,24.83909493,7.672280958,1,1,128,186,NA,NA,26.419323173418956
59,9,21.61709346,32.09779126,-43.68479496,1,1,55,138,NA,NA,33.33568963994194
60,9,90.99074934,26.67212992,-36.58803271,1,1,91,152,NA,NA,28.14964501497948
61,9,89.96309266,20.74460501,11.09397754,1,1,72,139,NA,NA,22.612798080311006
61,9,122.5884493,26.50346182,26.17812501,1,1,123,212,NA,NA,27.98988189407375
62,9,168.64628,27.87754903,25.89621663,0,1,107,234,35,NA,29.294329484049538
63,9,83.67075518,28.92295339,-38.42848882,1,1,84,151,NA,NA,30.290877055643545
63,9,99.4806029,13.75817513,-30.30786274,1,1,67,137,NA,NA,16.44041918284782
65,9,65.42967629,16.39724532,-42.65617891,0,1,37,84,7,NA,18.70480296833575
67,10,149.1651364,13.31020638,41.18955736,0,1,81,187,7,NA,16.648170886863
67,10,105.2198547,20.250409,-5.011482816,1,1,93,149,NA,NA,22.584930034589018
69,10,165.0180657,25.49910727,22.41941399,0,1,112,218,41,NA,27.389860743840355
70,10,98.6083425,20.07995996,-23.50280134,1,1,79,142,NA,NA,22.43222663926172
71,10,160.3791318,12.73822123,47.95261505,0,0,68,145,44,3,16.19451388910525
72,10,115.1917882,34.34673619,-11.38008542,1,1,141,226,NA,NA,35.77287082281007
72,10,106.2495227,20.9713429,-22.0086074,1,1,93,153,NA,NA,23.233536601847348
72,10,168.3905796,28.26782928,44.44178112,0,1,112,234,44,NA,29.984498865300807
73,10,107.4130753,15.23902766,-5.420401646,0,1,88,142,1,NA,18.227121660378664
74,10,153.2197909,17.51958875,16.87064876,0,1,101,196,41,NA,20.17265450973487
74,10,86.41617414,11.53051625,-40.13533473,0,0,43,93,15,1,15.262791520279443
77,9,163.1119487,20.62478131,14.96997077,0,1,99,200,49,NA,22.502924345189566
78,9,126.270345,11.44429583,16.1983164,1,1,69,165,NA,NA,14.559255030548623
78,9,166.3708008,20.09310782,35.58057297,0,1,88,185,53,NA,22.01665237646598
78,9,142.1059552,10.67249179,-2.052251715,1,1,84,171,NA,NA,13.960733541172448
79,9,116.1974982,10.33021679,12.50115884,1,1,96,148,NA,NA,13.700853218993258
80,9,159.9840247,13.7998151,17.17862436,0,1,71,173,53,NA,16.47528138740544
82,9,123.9069356,30.94059014,-13.30295741,1,1,152,227,NA,NA,32.22297500559912
82,9,130.1731096,15.81789068,1.681001089,1,1,102,198,NA,NA,18.19905672183124
82,9,94.13381216,25.54714153,-15.96508371,0,1,93,152,9,NA,27.08609311720409
83,9,121.7328003,29.5453428,4.184649279,1,1,129,218,NA,NA,30.885713220994457
83,9,22.40205886,26.68417392,-23.11840616,0,0,41,106,24,9,28.16105711426345
84,9,131.176616,22.70080543,-0.184057676,1,1,123,212,NA,NA,24.4197986717892
85,9,147.3635183,15.55966108,7.19127215,1,1,114,202,NA,NA,17.975067536019626
