"","SimNumber","Targets","Span","Samples","Errors","OffsetVaria"
"1",1,1008,100,19,32,3.80408223948465
"2",2,858,66,5,15,18.9465212710213
"3",3,1020,30,11,22,7.39786684850696
"4",4,1012,54,23,29,25.822286493039
"5",5,641,85,2,26,13.3781328469913
"6",6,535,80,15,19,6.42361205282202
"7",7,1164,70,2,20,2.11942983987695
"8",8,923,98,6,10,21.6807769938302
"9",9,961,44,6,27,13.9918272192753
"10",10,738,59,16,30,25.81163870039
"11",11,796,59,3,11,25.5640210770757
"12",12,466,83,11,24,23.6935617348661
"13",13,457,65,2,13,6.23441203396488
"14",14,728,90,7,25,1.97535303816129
"15",15,395,83,24,10,20.2885431562604
"16",16,1021,42,21,19,17.5645286191402
"17",17,1135,97,14,16,4.42573272717418
"18",18,673,72,23,30,12.0501569145545
"19",19,911,60,7,17,0.144119332186878
"20",20,225,94,7,26,9.35538927804958
"21",21,611,90,5,25,13.6402347303939
"22",22,820,91,22,13,18.0764615773428
"23",23,1111,83,21,27,13.0239861373778
"24",24,570,76,6,27,17.7396527987844
"25",25,1045,29,23,18,14.2781439313563
"26",26,645,47,18,16,19.6151833725197
"27",27,490,43,4,19,7.74204349104036
"28",28,989,45,13,8,5.27914725728822
"29",29,607,36,11,9,16.3409665875905
"30",30,934,51,21,27,7.30440658856463
"31",31,1137,90,4,22,3.87567748669488
"32",32,830,62,22,16,6.94826206124923
"33",33,806,69,20,17,23.275143275135
"34",34,366,96,23,22,19.9048142555493
"35",35,520,95,6,28,17.1977235277328
"36",36,1115,61,16,11,3.58632878468791
"37",37,799,53,23,10,5.98347988802451
"38",38,655,86,5,27,2.92800967640523
"39",39,905,89,17,13,11.075940365331
"40",40,602,36,15,12,11.8428282148878
"41",41,377,25,11,28,2.69209952383139
"42",42,354,69,21,8,20.7387423647279
"43",43,1015,91,25,15,24.2360678309172
"44",44,954,64,20,9,22.6982388027944
"45",45,771,51,2,16,9.6037231818831
"46",46,325,98,22,20,15.6654336903805
"47",47,767,56,13,32,12.9827345122288
"48",48,583,85,13,29,14.0273684916385
"49",49,975,41,4,15,12.0632625806632
"50",50,226,52,10,29,14.1159642878664
"51",51,771,69,21,30,11.8507616810338
"52",52,526,71,10,20,13.8655256687361
"53",53,355,35,24,24,22.1844772022362
"54",54,289,46,15,21,7.93092220013496
"55",55,726,30,10,30,3.68255447541457
"56",56,1104,91,2,16,18.8826779318638
"57",57,718,95,15,14,18.5410356001849
"58",58,672,73,25,22,26.3871452056442
"59",59,785,59,8,12,20.0273338054603
"60",60,363,76,21,31,7.9075987071218
"61",61,605,76,14,10,5.95797302736901
"62",62,493,53,5,17,21.5828822297482
"63",63,568,42,6,25,11.0088293445113
"64",64,1098,56,12,9,3.19853755942942
"65",65,623,27,22,14,24.6743558918925
"66",66,865,89,3,26,6.5966513961982
"67",67,671,79,6,32,5.07380936028436
"68",68,1173,60,4,8,18.4739593522409
"69",69,466,56,15,21,0.541721141902264
"70",70,1122,77,24,15,9.68210625361395
"71",71,578,71,15,22,3.61517654994549
"72",72,806,59,19,8,2.9932065108805
"73",73,1028,77,10,32,10.8756151301386
"74",74,840,40,19,26,18.0531326981124
"75",75,302,77,21,31,22.1387471379496
"76",76,352,28,10,13,16.8044889222053
"77",77,790,40,4,12,3.79404948127782
"78",78,840,89,19,9,19.2885085735661
"79",79,861,54,12,16,17.9118028486923
"80",80,259,32,5,32,2.64324924177583
"81",81,243,89,23,22,8.33878832604131
"82",82,667,88,2,15,19.5384203429087
"83",83,1124,68,25,12,17.6116200081944
"84",84,472,66,4,18,6.32935557053098
"85",85,807,48,25,19,22.5652283453806
"86",86,843,61,17,29,8.9937587496303
"87",87,355,57,24,30,13.3461027959858
"88",88,1156,37,18,18,20.2265902559671
"89",89,611,72,12,24,20.5785832930857
"90",90,586,46,10,20,5.61101188943349
"91",91,700,58,21,10,26.2291100928402
"92",92,820,83,21,8,6.64411183059681
"93",93,938,64,15,20,16.2844595910059
"94",94,459,26,2,26,3.27396061170893
"95",95,847,46,5,15,2.17866055953829
"96",96,737,92,12,19,4.72832703822223
"97",97,1082,95,9,32,8.37098694775486
"98",98,480,28,12,24,21.6519815853192
"99",99,1178,54,22,25,7.18068573328014
"100",100,594,56,5,20,8.22887132759206
"101",101,393,96,22,23,19.444565241775
"102",102,520,31,21,17,20.0170338279454
"103",103,230,94,15,26,19.146763528853
"104",104,924,91,8,31,24.0191485672905
"105",105,811,98,4,27,15.7025290314143
"106",106,999,28,11,25,17.2754969080503
"107",107,1052,84,8,19,13.4651040663116
"108",108,840,95,25,13,18.5366046189892
"109",109,335,52,10,20,8.71147529626684
"110",110,851,98,9,22,21.5473618852762
"111",111,633,97,23,20,3.16771228121337
"112",112,981,46,6,22,22.0169725827104
"113",113,522,69,23,9,22.5481131433556
"114",114,501,39,3,31,25.2668469911153
"115",115,969,92,8,9,0.26980517577799
"116",116,970,72,12,21,22.1587709713348
"117",117,1101,81,20,27,23.3582285824053
"118",118,231,63,6,19,12.2318184997202
"119",119,1115,79,17,24,5.7216615615054
"120",120,805,27,5,30,15.4551247899146
"121",121,697,54,20,18,6.73949875217723
"122",122,632,45,17,20,20.7600291025625
"123",123,423,89,18,29,26.1942739151865
"124",124,719,92,20,9,19.2239386935465
"125",125,459,48,18,15,14.7327483313424
"126",126,691,73,4,16,3.34639359154249
"127",127,498,90,16,30,24.0443667007876
"128",128,605,41,12,25,6.28142441282631
"129",129,1106,61,13,9,15.7501023974519
"130",130,444,77,4,23,0.291456936260918
