"","SimNumber","Targets","Span","Samples","Errors","Offset","OffsetVaria"
"1",1,9902,82,25,28,-5.31991082243621,2.70611226471211
"2",2,9988,37,17,22,-26.2207261519507,10.9486265576235
"3",3,10076,39,19,29,-38.4288784116507,9.31801381669938
"4",4,10016,90,17,14,-10.6303215725347,3.91024211385543
"5",5,10082,89,15,28,-30.7263990631327,10.2486877721818
"6",6,10043,80,23,27,-15.5025955988094,26.2704714845314
"7",7,9981,58,23,17,-31.2384729506448,2.09272694900911
"8",8,9985,35,11,10,-24.9712193151936,22.5321266839306
"9",9,9933,55,12,23,6.01263514254242,1.41280292737717
"10",10,9980,46,9,15,-43.6118288896978,12.183234338752
"11",11,9973,61,14,16,32.7517352066934,0.814357534637442
"12",12,10041,63,25,20,-35.3859275346622,13.3219887383115
"13",13,10012,48,18,31,29.0937142213807,3.86857900145068
"14",14,9941,52,6,9,48.3913066564128,14.1408116238017
"15",15,10005,69,23,24,10.0147366523743,15.4201414568566
"16",16,10089,85,3,22,17.6701343152672,18.2444591313798
"17",17,9978,33,24,8,6.09244909137487,4.89438270360604
"18",18,9930,31,22,15,40.8457190729678,2.50308857168886
"19",19,9930,27,10,15,-46.3694009464234,13.9683057935748
"20",20,10001,55,11,25,40.8158991718665,14.8268561034447
"21",21,10076,67,13,17,42.4110987223685,8.579094804161
"22",22,10068,32,13,19,16.6660439455882,24.4528244283146
"23",23,10049,64,9,17,-19.6091199526563,14.2567101306641
"24",24,9997,63,13,20,-8.21423861198127,14.0594176874689
"25",25,10036,44,13,10,4.13502436131239,10.3829046867348
"26",26,10025,49,24,13,10.633457894437,23.4987945761385
"27",27,10073,65,23,25,-0.460782903246582,7.04660905163921
"28",28,9967,43,15,16,32.5131857069209,13.7621606179778
"29",29,9976,56,19,13,30.7300996500999,8.7179426439451
"30",30,9942,76,13,21,29.5217286096886,0.72157040377846
"31",31,9986,89,15,21,-38.0997977918014,16.3029421826915
"32",32,10001,74,6,25,-40.1831872295588,4.8615299680687
"33",33,10075,66,8,26,36.453955178149,11.2910929805438
"34",34,10026,27,13,12,-11.0800910042599,3.87118335163896
"35",35,10074,74,15,17,29.8574642743915,25.0920367606869
"36",36,10030,78,25,28,-38.8710603350773,4.29074223953206
"37",37,9947,53,11,23,-19.072347972542,12.0935991815156
"38",38,10030,54,11,21,-49.3566976394504,10.1029841971172
"39",39,9987,40,17,11,43.1103772018105,21.387715818437
"40",40,9948,53,17,18,38.0473385099322,1.08277134897956
"41",41,9925,61,4,30,14.2830786993727,2.93824046601588
"42",42,10098,59,7,27,16.9513062573969,22.6570374675158
"43",43,10075,75,22,11,18.4873418416828,5.81872856949712
"44",44,10086,26,20,24,46.7489181784913,20.3039780991203
"45",45,10017,36,5,26,-45.5572764389217,3.75104990214598
"46",46,9967,94,17,14,38.5182087309659,14.6315955413026
"47",47,10072,69,15,19,45.30672384426,9.33640085701411
"48",48,10078,32,12,29,40.7690026797354,20.5468831648545
"49",49,10029,98,19,30,21.1556581780314,13.0683816290596
"50",50,9964,100,5,21,-10.3195086820051,9.39385949885589
"51",51,10050,69,7,18,-47.6584785617888,5.24118598157028
"52",52,9991,77,4,13,-21.5097711188719,5.69179026689287
"53",53,10032,47,22,19,24.9223037622869,0.473668742337963
"54",54,9944,92,22,32,43.736588745378,12.6562988785971
"55",55,9948,52,14,11,37.4297672184184,11.8194065051591
"56",56,10050,61,14,19,46.1777346441522,20.8313576672354
"57",57,9908,92,11,16,20.4680099384859,17.1239212394373
"58",58,9909,65,11,21,-9.43263729568571,10.4584622216921
"59",59,9979,61,23,32,1.83511192444712,9.14750866078213
"60",60,10020,53,11,23,6.5601656679064,2.10612608683645
"61",61,10008,82,5,28,-23.3852304983884,7.42183086949005
"62",62,9934,52,22,18,-8.54427174199373,6.39692294524098
"63",63,10042,57,6,10,20.7292153034359,0.981371977543225
"64",64,9952,78,24,9,36.4044354530051,7.27202654449292
"65",65,9999,86,12,10,13.4249554714188,20.880321800227
"66",66,9954,95,13,27,-9.32808737270534,12.2584676394714
"67",67,9983,100,25,15,-14.7807119879872,18.1530474540829
"68",68,10053,58,22,9,-3.76489320769906,20.5048483109118
"69",69,10003,97,6,25,15.2044283924624,11.2223514043004
"70",70,9936,69,2,28,17.3623287584633,20.1882428137674
"71",71,9975,94,17,24,-7.49591323547065,24.8447609554813
"72",72,9975,87,21,15,-26.0330779943615,1.85214702010434
"73",73,9964,30,14,22,-25.371058145538,0.576671028587036
"74",74,10012,70,11,12,-10.864457138814,16.0635988132788
"75",75,9999,38,20,28,-44.4661655696109,0.663913551609265
"76",76,10058,64,2,30,-41.5655200602487,17.7037969417181
"77",77,9999,90,9,20,3.9198461221531,1.90114020041656
"78",78,9951,98,16,20,30.6795014766976,11.7750895177482
"79",79,10015,32,4,31,-5.70842609740794,16.4180401421899
"80",80,9954,83,23,17,-6.74962867051363,6.28950101785036
"81",81,10055,58,23,19,-23.661203077063,1.74460141331935
"82",82,9937,83,16,10,-32.479355763644,18.5865609265177
"83",83,10038,56,4,21,-44.6214676368982,6.26713218094665
"84",84,10001,43,22,10,7.29956482537091,19.6969587184344
"85",85,10076,86,12,20,34.1979706892744,14.4519883815632
"86",86,9936,87,12,28,35.0966047029942,2.35877119794162
"87",87,10000,82,9,26,7.11334235966206,7.67479761118628
"88",88,10093,33,11,19,21.4086131658405,0.0650103920998517
"89",89,9965,48,25,9,-19.674080144614,23.2397799083558
"90",90,10080,69,7,29,44.7336505865678,1.63275983244763
"91",91,10050,87,25,15,-11.2986432621256,17.6773574078765
"92",92,10098,85,5,25,21.9093983760104,24.8813710186998
"93",93,10022,46,18,12,46.8648759881034,23.3724218325168
"94",94,9988,95,18,23,46.7169110663235,4.50934004095546
"95",95,9995,29,11,23,-14.7988558979705,21.223216479863
"96",96,9967,85,17,13,36.3202268024907,26.0963299717943
"97",97,9973,90,2,29,7.88520944770426,2.50881142444746
"98",98,9986,60,8,9,47.6531652035192,14.0659753175266
"99",99,10055,76,21,25,11.0028036637232,19.3694724454379
"100",100,9924,73,4,20,-22.3072681808844,8.23431248057075
"101",101,10014,30,23,14,-14.8830041056499,6.0755727829854
"102",102,9965,77,12,27,27.2701445268467,6.11416265432024
"103",103,9983,80,25,19,7.30787352658808,4.05052003442682
"104",104,9929,50,4,31,-18.9096258720383,9.12354549122858
"105",105,9930,27,8,9,-45.653783204034,21.5188473004363
"106",106,9940,94,4,10,23.1267876690254,25.8039753471785
"107",107,10083,25,5,17,27.2304017096758,3.99507673862972
"108",108,9917,82,19,31,6.0120124835521,4.20520298278169
"109",109,9978,69,21,19,39.9555211653933,22.1208494783533
"110",110,9928,72,19,30,-36.939981742762,5.69774539333
"111",111,10061,99,23,11,2.7999991318211,8.75757701571449
"112",112,9998,86,12,18,-34.7174340393394,8.11617132065748
"113",113,9961,44,12,13,29.4369669863954,7.85741769006406
"114",114,10026,94,9,13,-44.5400344440714,7.79982597225415
"115",115,10073,58,6,27,-20.2626737300307,21.7043183232385
"116",116,9946,58,15,13,3.26684506144375,1.45390384332905
"117",117,9981,34,12,8,-36.7434220854193,16.6911220793622
"118",118,10014,69,23,24,-46.8513138592243,7.50760449147411
"119",119,10079,25,6,10,-3.32585880532861,18.2252116228053
"120",120,10003,32,22,10,11.6038667969406,10.9327759073789
"121",121,10040,25,2,11,-37.6471019582823,4.20069569375645
"122",122,9991,53,8,26,-20.0834953924641,3.89796426553489
"123",123,9948,95,9,25,-33.6955604841933,3.1325292817601
"124",124,9930,62,18,28,-7.76187870651484,9.99360000229254
"125",125,10069,92,9,12,-42.723651137203,14.0988749927443
"126",126,9983,80,19,30,-36.0320881241933,9.91084785076091
"127",127,10018,55,18,10,14.7681751055643,23.195790949597
"128",128,9945,68,3,30,49.4363779202104,24.8656900312142
"129",129,9933,66,22,30,-44.0490847919136,1.77439530805149
"130",130,9997,62,6,23,-3.94846466369927,10.1526139320615
"131",131,9918,26,16,31,-41.9095152057707,17.2911301105958
"132",132,10091,52,4,10,39.3990420736372,6.63745004849602
"133",133,9991,37,5,14,-3.62010465469211,2.24781434490159
